TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,
1075,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,5,ACPL,Queens,11377,
1077,58 STREET,32 AVENUE,NORTHERN BOULEVARD,3,13,PO,Queens,11377,
1079,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,7,ACPL,Queens,11377,
1080,58 STREET,32 AVENUE,NORTHERN BOULEVARD,2,3,ACPL,Queens,11377,
1082,58 STREET,32 AVENUE,NORTHERN BOULEVARD,2,6,ACPL,Queens,11377,
1063,58 STREET,31 AVENUE,32 AVENUE,1,32,TICO,Queens,11377,
1076,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,12,QURU,Queens,11377,
1078,58 STREET,32 AVENUE,NORTHERN BOULEVARD,2,2,ACPL,Queens,11377,
1065,58 STREET,31 AVENUE,32 AVENUE,1,16,TICO,Queens,11377,
1067,58 STREET,31 AVENUE,32 AVENUE,1,35,ULAM,Queens,11377,
1084,58 STREET,32 AVENUE,NORTHERN BOULEVARD,2,2,ACPL,Queens,11377,
1092,58 STREET,32 AVENUE,NORTHERN BOULEVARD,7,0,,Queens,11377,
1094,58 STREET,32 AVENUE,NORTHERN BOULEVARD,7,0,,Queens,11377,
1081,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,11,ACPL,Queens,11377,
1085,58 STREET,32 AVENUE,NORTHERN BOULEVARD,2,21,ACSA1,Queens,11377,
1087,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,2,UNK,Queens,11377,
1089,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,3,UNK,Queens,11377,
1091,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,4,TICO,Queens,11377,
1096,58 STREET,32 AVENUE,NORTHERN BOULEVARD,2,6,GLTR,Queens,11377,
1098,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,3,TICO,Queens,11377,
1100,58 STREET,32 AVENUE,NORTHERN BOULEVARD,1,9,FRPE,Queens,11377,